date,match,team,side,player,minutes,shots,on_target,shots_p90,sot_p90,goals,assists
2026-06-11,Mexico vs South Africa,Mexico,home,Julián Quiñones,78.3,5,2,5.75,2.3,1,0
2026-06-11,Mexico vs South Africa,Mexico,home,Raúl Jiménez,75.8,4,2,4.75,2.38,1,0
2026-06-11,Mexico vs South Africa,Mexico,home,Brian Gutiérrez,65.5,4,0,5.5,0.0,0,0
2026-06-11,Mexico vs South Africa,Mexico,home,Jesús Gallardo,90.0,2,0,2.0,0.0,0,0
2026-06-11,Mexico vs South Africa,South Africa,away,Mbekezeli Mbokazi,90.0,1,1,1.0,1.0,0,0
2026-06-11,Mexico vs South Africa,South Africa,away,Aubrey Modiba,76.2,1,1,1.18,1.18,0,0
2026-06-11,Mexico vs South Africa,Mexico,home,Israel Reyes,90.0,1,0,1.0,0.0,0,0
2026-06-11,Mexico vs South Africa,South Africa,away,Lyle Foster,55.9,1,0,1.61,0.0,0,0
2026-06-11,South Korea vs Czechia,South Korea,home,Son Heung-Min,68.8,6,1,7.85,1.31,0,0
2026-06-11,South Korea vs Czechia,South Korea,home,Hwang In-Beom,83.5,3,2,3.23,2.16,1,1
2026-06-11,South Korea vs Czechia,Czechia,away,Michal Sadílek,26.8,2,2,6.72,6.72,0,0
2026-06-11,South Korea vs Czechia,South Korea,home,Lee Jae-Sung,61.8,2,1,2.91,1.46,0,0
2026-06-11,South Korea vs Czechia,Czechia,away,Adam Hlozek,26.9,2,1,6.68,3.34,0,0
2026-06-11,South Korea vs Czechia,South Korea,home,Lee Kang-In,90.0,1,1,1.0,1.0,0,1
2026-06-11,South Korea vs Czechia,South Korea,home,Oh Hyeon-Gyu,21.2,1,1,4.24,4.24,1,0
2026-06-11,South Korea vs Czechia,Czechia,away,Ladislav Krejcí,90.0,1,1,1.0,1.0,1,0
2026-06-11,South Korea vs Czechia,South Korea,home,Lee Han-Beom,90.0,1,0,1.0,0.0,0,0
2026-06-11,South Korea vs Czechia,South Korea,home,Kim Jin-Gyu,6.5,1,0,13.78,0.0,0,0
2026-06-11,South Korea vs Czechia,Czechia,away,Tomás Soucek,90.0,1,0,1.0,0.0,0,0
2026-06-11,South Korea vs Czechia,Czechia,away,Pavel Sulc,63.1,1,0,1.43,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina,away,Jovo Lukic,61.2,3,2,4.41,2.94,1,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Jonathan David,60.9,3,1,4.44,1.48,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Tani Oluwaseyi,76.0,2,1,2.37,1.18,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Cyle Larin,14.0,2,1,12.83,6.41,1,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Richie Laryea,90.0,1,1,1.0,1.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina,away,Ermedin Demirovic,90.0,1,1,1.0,1.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Derek Cornelius,90.0,1,0,1.0,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Alistair Johnston,90.0,1,0,1.0,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Stephen Eustáquio,90.0,1,0,1.0,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Ismaël Koné,90.0,1,0,1.0,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Canada,home,Promise David,29.1,1,0,3.09,0.0,0,1
2026-06-12,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina,away,Tarik Muharemovic,90.0,1,0,1.0,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina,away,Benjamin Tahirovic,90.0,1,0,1.0,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina,away,Amar Memic,73.9,1,0,1.22,0.0,0,0
2026-06-12,Canada vs Bosnia-Herzegovina,Bosnia-Herzegovina,away,Dzenis Burnic,6.4,1,0,14.14,0.0,0,0
2026-06-12,United States vs Paraguay,United States,home,Folarin Balogun,71.7,5,3,6.28,3.77,2,0
2026-06-12,United States vs Paraguay,United States,home,Malik Tillman,81.4,5,2,5.53,2.21,0,1
2026-06-12,United States vs Paraguay,Paraguay,away,Diego Gómez,79.8,4,0,4.51,0.0,0,0
2026-06-12,United States vs Paraguay,United States,home,Timothy Weah,18.4,2,0,9.8,0.0,0,0
2026-06-12,United States vs Paraguay,Paraguay,away,Miguel Almirón,78.8,2,0,2.28,0.0,0,0
2026-06-12,United States vs Paraguay,Paraguay,away,Julio Enciso,90.0,2,0,2.0,0.0,0,1
2026-06-12,United States vs Paraguay,United States,home,Giovanni Reyna,8.6,1,1,10.44,10.44,1,0
2026-06-12,United States vs Paraguay,Paraguay,away,Maurício,45.0,1,1,2.0,2.0,1,0
2026-06-12,United States vs Paraguay,United States,home,Chris Richards,90.0,1,0,1.0,0.0,0,0
2026-06-12,United States vs Paraguay,United States,home,Sebastian Berhalter,45.0,1,0,2.0,0.0,0,0
2026-06-12,United States vs Paraguay,United States,home,Ricardo Pepi,18.3,1,0,4.9,0.0,0,0
2026-06-13,Qatar vs Switzerland,Switzerland,away,Dan Ndoye,65.0,6,2,8.31,2.77,0,0
2026-06-13,Qatar vs Switzerland,Switzerland,away,Breel Embolo,90.0,4,1,4.0,1.0,1,0
2026-06-13,Qatar vs Switzerland,Switzerland,away,Rubén Vargas,78.4,3,1,3.44,1.15,0,0
