player_id,name,pos,mins,min_per_app,shots,shot_rate_raw,shot_rate,on_target_rate,sot_per90,p_1plus_sot,p_2plus_sot
6219,Enes Ünal,FW,866.0,14.9,58.0,6.028,4.918,0.339,1.666,0.811,0.496
3423,Kylian Mbappe-Lottin,FW,7705.0,82.0,427.0,4.988,4.865,0.339,1.649,0.808,0.491
11764,Ayanda Sishuba,FW,45.0,5.6,12.0,24.0,4.67,0.339,1.583,0.795,0.469
10804,Deniz Undav,FW,6129.0,71.3,306.0,4.493,4.37,0.356,1.555,0.789,0.46
647,Harry Kane,FW,7639.0,81.3,379.0,4.465,4.366,0.343,1.496,0.776,0.441
7051,Gonçalo Paciência,FW,621.0,32.7,39.0,5.652,4.408,0.339,1.494,0.775,0.44
2168,Bebé,FW,157.0,8.3,16.0,9.172,4.361,0.339,1.478,0.772,0.435
11867,Victor Boniface,FW,2905.0,54.8,147.0,4.554,4.302,0.339,1.458,0.767,0.428
7967,Anssumane Fati,FW,1768.0,33.4,88.0,4.48,4.106,0.339,1.391,0.751,0.405
11366,Jhon Durán,FW,957.0,22.3,51.0,4.796,4.106,0.339,1.391,0.751,0.405
14118,Charalampos Kostoulas,FW,309.0,14.7,21.0,6.117,4.048,0.339,1.372,0.746,0.398
8260,Erling Haaland,FW,8309.0,85.7,356.0,3.856,3.791,0.361,1.369,0.746,0.398
7084,Dusan Vlahovic,FW,5111.0,63.1,236.0,4.156,4.032,0.339,1.366,0.745,0.396
1229,Luis Muriel,FW,364.0,20.2,23.0,5.687,3.99,0.339,1.352,0.741,0.391
12008,Nikola Krstovic,FW,7278.0,69.3,328.0,4.056,3.972,0.339,1.346,0.74,0.389
6357,Marco Richter,MF,679.0,34.0,38.0,5.037,3.923,0.339,1.329,0.735,0.384
10720,Darwin Núñez,FW,3109.0,47.1,142.0,4.111,3.92,0.337,1.32,0.733,0.38
13976,Hamza Igamane,FW,406.0,31.2,24.0,5.32,3.89,0.339,1.318,0.732,0.38
11767,Gonçalo Ramos,FW,3772.0,46.6,168.0,4.008,3.858,0.339,1.307,0.729,0.376
7453,Khvicha Kvaratskhelia,FW,6378.0,68.6,278.0,3.923,3.835,0.339,1.3,0.727,0.373
12884,Endrick,FW,1577.0,40.4,73.0,4.166,3.815,0.339,1.293,0.726,0.371
9749,Donyell Malen,FW,4763.0,50.7,202.0,3.817,3.709,0.347,1.289,0.724,0.369
11527,Lamine Yamal,FW,7356.0,73.6,319.0,3.903,3.827,0.337,1.288,0.724,0.369
8026,Raphinha,FW,5671.0,65.9,238.0,3.777,3.688,0.345,1.273,0.72,0.364
5322,Victor Osimhen,FW,2015.0,80.6,90.0,4.02,3.756,0.339,1.273,0.72,0.364
3226,Ousmane Dembélé,FW,4319.0,56.1,185.0,3.855,3.734,0.341,1.273,0.72,0.363
7490,Mason Greenwood,FW,8120.0,81.2,339.0,3.757,3.695,0.339,1.252,0.714,0.356
14023,Conrad Harder,FW,886.0,30.6,42.0,4.266,3.693,0.339,1.252,0.714,0.356
6253,Gianluca Scamacca,FW,2765.0,51.2,118.0,3.841,3.661,0.339,1.241,0.711,0.352
11541,Nico Paz,FW,5621.0,76.0,233.0,3.731,3.644,0.339,1.235,0.709,0.35
14363,Rémi Himbert,FW,114.0,19.0,10.0,7.895,3.634,0.339,1.231,0.708,0.349
7006,Lautaro Martínez,FW,7498.0,79.8,303.0,3.637,3.575,0.343,1.227,0.707,0.347
6190,Dawid Kownacki,FW,340.0,15.5,19.0,5.029,3.618,0.339,1.226,0.707,0.347
13835,Joël Piroe,FW,216.0,13.5,14.0,5.833,3.616,0.339,1.225,0.706,0.346
9948,Michael Olise,MF,5959.0,70.1,244.0,3.685,3.575,0.341,1.218,0.704,0.344
8995,Hugo Ekitike,FW,5176.0,68.1,212.0,3.686,3.595,0.339,1.218,0.704,0.344
1709,Cristhian Stuani,FW,2051.0,24.4,87.0,3.818,3.589,0.339,1.216,0.704,0.343
7892,João Félix,FW,2634.0,46.2,110.0,3.759,3.581,0.339,1.213,0.703,0.342
1304,Moise Kean,FW,5410.0,70.3,219.0,3.643,3.559,0.339,1.206,0.701,0.339
13506,Rayan Fofana,FW,783.0,29.0,36.0,4.138,3.555,0.339,1.205,0.7,0.339
10717,Rodrigo Muniz,FW,3525.0,45.2,144.0,3.677,3.548,0.339,1.202,0.699,0.338
13821,Urko Izeta,FW,153.0,11.8,11.0,6.471,3.535,0.339,1.198,0.698,0.337
13769,Carlos Espí,FW,1328.0,53.1,57.0,3.863,3.527,0.339,1.195,0.697,0.336
11861,Stefan Schimmer,FW,1074.0,19.2,47.0,3.939,3.524,0.339,1.194,0.697,0.335
555,Memphis Depay,FW,870.0,37.8,39.0,4.034,3.523,0.339,1.194,0.697,0.335
7546,Harvey Elliott,FW,1698.0,29.8,71.0,3.763,3.505,0.339,1.188,0.695,0.333
8393,Omar Marmoush,FW,5702.0,68.7,234.0,3.693,3.61,0.328,1.184,0.694,0.332
13335,Goduine Koyalipou,FW,1795.0,46.0,74.0,3.71,3.473,0.339,1.177,0.692,0.329
1250,Mohamed Salah,FW,8111.0,83.6,311.0,3.451,3.402,0.345,1.174,0.691,0.328
8978,Luis Suárez,FW,922.0,61.5,40.0,3.905,3.451,0.339,1.169,0.689,0.326
1104,Leonardo Pavoletti,FW,1165.0,20.1,49.0,3.785,3.432,0.339,1.163,0.687,0.324
993,Serge Gnabry,FW,2927.0,50.5,116.0,3.567,3.427,0.339,1.161,0.687,0.323
12134,Moritz-Broni Kwarteng,FW,407.0,22.6,20.0,4.423,3.422,0.339,1.16,0.686,0.323
696,Falcao,FW,330.0,15.0,17.0,4.636,3.413,0.339,1.156,0.685,0.322
6482,Eddie Nketiah,FW,2416.0,35.5,96.0,3.576,3.409,0.339,1.155,0.685,0.321
14264,Yael Trepy,FW,68.0,8.5,7.0,9.265,3.399,0.339,1.152,0.684,0.32
1583,Arkadiusz Milik,FW,891.0,26.2,38.0,3.838,3.393,0.339,1.15,0.683,0.319
101,Allan Saint-Maximin,MF,380.0,38.0,21.0,4.974,3.385,0.339,1.147,0.682,0.318
3872,George Puscas,FW,177.0,22.1,11.0,5.593,3.38,0.339,1.145,0.682,0.318
11058,Julio Enciso,FW,3562.0,55.7,141.0,3.563,3.446,0.332,1.145,0.682,0.317
986,Danny Ings,FW,577.0,16.5,26.0,4.055,3.378,0.339,1.145,0.682,0.317
10866,Luis Sinisterra,MF,891.0,27.8,40.0,4.04,3.368,0.339,1.141,0.681,0.316
7008,Vinícius Júnior,FW,7034.0,76.5,259.0,3.314,3.264,0.349,1.141,0.68,0.316
1236,Patrik Schick,FW,4742.0,60.0,180.0,3.416,3.337,0.341,1.138,0.679,0.315
227,Robert Lewandowski,FW,7123.0,71.2,270.0,3.411,3.358,0.339,1.138,0.679,0.315
6854,Diogo Jota,FW,2352.0,50.0,92.0,3.52,3.357,0.339,1.138,0.679,0.315
10832,Loïs Openda,FW,5946.0,63.9,226.0,3.421,3.356,0.339,1.137,0.679,0.315
9690,Folarin Balogun,FW,4615.0,64.1,174.0,3.393,3.314,0.343,1.136,0.679,0.314
8497,Cole Palmer,MF,7875.0,81.2,298.0,3.406,3.331,0.339,1.129,0.677,0.311
2589,Rafa Mir,FW,2900.0,46.8,111.0,3.445,3.318,0.339,1.124,0.675,0.31
10948,Valentín Castellanos,FW,6184.0,66.5,232.0,3.376,3.317,0.339,1.124,0.675,0.31
7500,Giacomo Raspadori,FW,3643.0,41.4,138.0,3.409,3.309,0.339,1.121,0.674,0.309
8706,Eberechi Eze,FW,6660.0,70.9,248.0,3.351,3.297,0.339,1.117,0.673,0.307
10953,Pau Victor,FW,273.0,13.0,14.0,4.615,3.295,0.339,1.117,0.673,0.307
3800,Steve Mounie,FW,2077.0,43.3,80.0,3.467,3.293,0.339,1.116,0.672,0.307
6531,Alexander Sørloth,FW,5967.0,57.4,225.0,3.394,3.331,0.334,1.114,0.672,0.306
12424,Yorbe Vertessen,FW,1288.0,42.9,51.0,3.564,3.286,0.339,1.114,0.672,0.306
5543,Gabriel Jesus,FW,2472.0,42.6,94.0,3.422,3.279,0.339,1.111,0.671,0.305
318,Pierre-Emerick Aubameyang,FW,4725.0,73.8,176.0,3.352,3.278,0.339,1.111,0.671,0.305
12857,Daniel Mosquera,FW,1899.0,33.3,73.0,3.46,3.274,0.339,1.109,0.67,0.304
294,Gian-Luca Waldschmidt,FW,1795.0,39.0,69.0,3.46,3.265,0.339,1.106,0.669,0.303
7080,Matheus Cunha,FW,7622.0,77.8,273.0,3.224,3.182,0.347,1.106,0.669,0.303
866,Joselu,FW,1631.0,48.0,63.0,3.476,3.263,0.339,1.106,0.669,0.303
6160,Riccardo Orsolini,FW,5855.0,59.7,216.0,3.32,3.261,0.339,1.105,0.669,0.303
1102,Giovanni Simeone,FW,3374.0,37.5,126.0,3.361,3.258,0.339,1.104,0.668,0.302
3738,Serhou Guirassy,FW,7202.0,79.1,264.0,3.299,3.251,0.339,1.102,0.668,0.302
13811,Idrissa Gueye,FW,494.0,22.5,22.0,4.008,3.286,0.334,1.099,0.667,0.301
6400,Antonio Martínez,FW,3715.0,57.2,137.0,3.319,3.229,0.339,1.094,0.665,0.299
3751,Thomas Henry,FW,287.0,15.9,14.0,4.39,3.225,0.339,1.093,0.665,0.298
13911,Said El Mala,FW,1965.0,57.8,74.0,3.389,3.22,0.339,1.091,0.664,0.298
11721,Cauley Woodrow,FW,344.0,14.3,16.0,4.186,3.22,0.339,1.091,0.664,0.298
6401,Amine Gouiri,FW,5530.0,64.3,197.0,3.206,3.151,0.345,1.088,0.663,0.296
1433,Federico Chiesa,FW,2562.0,39.4,95.0,3.337,3.209,0.339,1.087,0.663,0.296
9350,Armindo Sieb,FW,1218.0,24.9,47.0,3.473,3.205,0.339,1.086,0.662,0.296
11092,Mërgim Berisha,FW,604.0,28.8,25.0,3.725,3.192,0.339,1.082,0.661,0.294
3746,Gaetan Laborde,FW,3767.0,60.8,137.0,3.273,3.188,0.339,1.08,0.661,0.294
6441,Ferrán Torres,FW,4286.0,48.2,155.0,3.255,3.181,0.339,1.077,0.659,0.293
14445,Paul Mendy,FW,326.0,36.2,15.0,4.141,3.174,0.339,1.075,0.659,0.292
10172,Jonathan Rowe,FW,2426.0,42.6,89.0,3.302,3.172,0.339,1.075,0.659,0.292
11319,Justin Diehl,MF,226.0,17.4,14.0,5.575,3.172,0.339,1.075,0.659,0.292
12418,Rodrigo Ribeiro,FW,640.0,35.6,26.0,3.656,3.167,0.339,1.073,0.658,0.291
11822,Fermín López,FW,4451.0,50.0,160.0,3.235,3.165,0.339,1.073,0.658,0.291
11633,Marc Guiu,FW,385.0,24.1,17.0,3.974,3.164,0.339,1.072,0.658,0.291
10730,Muhammed Damar,FW,243.0,16.2,12.0,4.444,3.163,0.339,1.072,0.658,0.291
