club_id,name,league
111,AC Milan,ITA-Serie A
158,Alaves,ESP-La Liga
208,Almeria,ESP-La Liga
167,Angers,FRA-Ligue 1
83,Arsenal,ENG-Premier League
71,Aston Villa,ENG-Premier League
107,Atalanta,ITA-Serie A
147,Athletic Club,ESP-La Liga
143,Atletico Madrid,ESP-La Liga
121,Augsburg,GER-Bundesliga
275,Auxerre,FRA-Ligue 1
148,Barcelona,ESP-La Liga
119,Bayer Leverkusen,GER-Bundesliga
117,Bayern Munich,GER-Bundesliga
268,Bochum,GER-Bundesliga
97,Bologna,ITA-Serie A
129,Borussia Dortmund,GER-Bundesliga
130,Borussia M.Gladbach,GER-Bundesliga
73,Bournemouth,ENG-Premier League
244,Brentford,ENG-Premier League
241,Brest,FRA-Ligue 1
220,Brighton,ENG-Premier League
92,Burnley,ENG-Premier League
261,Cadiz,ESP-La Liga
116,Cagliari,ITA-Serie A
152,Celta Vigo,ESP-La Liga
80,Chelsea,ENG-Premier League
270,Clermont Foot,FRA-Ligue 1
286,Como,ITA-Serie A
272,Cremonese,ITA-Serie A
78,Crystal Palace,ENG-Premier League
127,Darmstadt,GER-Bundesliga
132,Eintracht Frankfurt,GER-Bundesliga
207,Elche,ESP-La Liga
108,Empoli,ITA-Serie A
141,Espanyol,ESP-La Liga
72,Everton,ENG-Premier League
134,FC Cologne,GER-Bundesliga
280,FC Heidenheim,GER-Bundesliga
110,Fiorentina,ITA-Serie A
135,Freiburg,GER-Bundesliga
112,Frosinone,ITA-Serie A
228,Fulham,ENG-Premier League
101,Genoa,ITA-Serie A
142,Getafe,ESP-La Liga
223,Girona,ESP-La Liga
155,Granada,ESP-La Liga
118,Hamburger SV,GER-Bundesliga
120,Hoffenheim,GER-Bundesliga
287,Holstein Kiel,GER-Bundesliga
106,Inter,ITA-Serie A
285,Ipswich,ENG-Premier League
98,Juventus,ITA-Serie A
144,Las Palmas,ESP-La Liga
96,Lazio,ITA-Serie A
282,Le Havre,FRA-Ligue 1
243,Lecce,ITA-Serie A
245,Leeds,ENG-Premier League
159,Leganes,ESP-La Liga
75,Leicester,ENG-Premier League
210,Lens,FRA-Ligue 1
151,Levante,ESP-La Liga
160,Lille,FRA-Ligue 1
87,Liverpool,ENG-Premier League
179,Lorient,FRA-Ligue 1
256,Luton,ENG-Premier League
178,Lyon,FRA-Ligue 1
125,Mainz 05,GER-Bundesliga
239,Mallorca,ESP-La Liga
88,Manchester City,ENG-Premier League
89,Manchester United,ENG-Premier League
164,Marseille,FRA-Ligue 1
180,Metz,FRA-Ligue 1
171,Monaco,FRA-Ligue 1
166,Montpellier,FRA-Ligue 1
271,Monza,ITA-Serie A
168,Nantes,FRA-Ligue 1
105,Napoli,ITA-Serie A
86,Newcastle United,ENG-Premier League
170,Nice,FRA-Ligue 1
249,Nottingham Forest,ENG-Premier League
157,Osasuna,ESP-La Liga
290,Paris FC,FRA-Ligue 1
161,Paris Saint Germain,FRA-Ligue 1
230,Parma Calcio 1913,ITA-Serie A
291,Pisa,ITA-Serie A
136,RasenBallsport Leipzig,GER-Bundesliga
145,Rayo Vallecano,ESP-La Liga
153,Real Betis,ESP-La Liga
150,Real Madrid,ESP-La Liga
289,Real Oviedo,ESP-La Liga
140,Real Sociedad,ESP-La Liga
231,Real Valladolid,ESP-La Liga
177,Reims,FRA-Ligue 1
163,Rennes,FRA-Ligue 1
95,Roma,ITA-Serie A
175,Saint-Etienne,FRA-Ligue 1
264,Salernitana,ITA-Serie A
104,Sassuolo,ITA-Serie A
138,Sevilla,ESP-La Liga
238,Sheffield United,ENG-Premier League
74,Southampton,ENG-Premier League
288,St. Pauli,GER-Bundesliga
225,Strasbourg,FRA-Ligue 1
77,Sunderland,ENG-Premier League
113,Torino,ITA-Serie A
82,Tottenham,ENG-Premier League
174,Toulouse,FRA-Ligue 1
99,Udinese,ITA-Serie A
240,Union Berlin,GER-Bundesliga
146,Valencia,ESP-La Liga
265,Venezia,ITA-Serie A
94,Verona,ITA-Serie A
133,VfB Stuttgart,GER-Bundesliga
154,Villarreal,ESP-La Liga
123,Werder Bremen,GER-Bundesliga
81,West Ham,ENG-Premier League
131,Wolfsburg,GER-Bundesliga
229,Wolverhampton Wanderers,ENG-Premier League
90000000,América,MEX-Liga MX
90000001,Atlas,MEX-Liga MX
90000002,Atlético San Luis,MEX-Liga MX
90000003,Cruz Azul,MEX-Liga MX
90000004,FC Juárez,MEX-Liga MX
90000005,Guadalajara,MEX-Liga MX
90000006,León,MEX-Liga MX
90000007,Mazatlán,MEX-Liga MX
90000008,Monterrey,MEX-Liga MX
90000009,Necaxa,MEX-Liga MX
90000010,Pachuca,MEX-Liga MX
90000011,Puebla,MEX-Liga MX
90000012,Querétaro,MEX-Liga MX
90000013,Santos Laguna,MEX-Liga MX
90000014,Tijuana,MEX-Liga MX
90000015,Toluca,MEX-Liga MX
90000016,UANL,MEX-Liga MX
90000017,UNAM,MEX-Liga MX
90000018,Atlanta Utd,USA-Major League Soccer
90000019,Austin FC,USA-Major League Soccer
90000020,CF Montréal,USA-Major League Soccer
90000021,Charlotte,USA-Major League Soccer
90000022,Chicago Fire,USA-Major League Soccer
90000023,Colorado Rapids,USA-Major League Soccer
90000024,Columbus Crew,USA-Major League Soccer
90000025,D.C. United,USA-Major League Soccer
90000026,FC Cincinnati,USA-Major League Soccer
90000027,FC Dallas,USA-Major League Soccer
90000028,Houston Dynamo,USA-Major League Soccer
90000029,Inter Miami,USA-Major League Soccer
90000030,LA Galaxy,USA-Major League Soccer
90000031,LAFC,USA-Major League Soccer
90000032,Minnesota Utd,USA-Major League Soccer
90000033,NE Revolution,USA-Major League Soccer
90000034,NY Red Bulls,USA-Major League Soccer
90000035,NYCFC,USA-Major League Soccer
90000036,Nashville SC,USA-Major League Soccer
90000037,Orlando City,USA-Major League Soccer
90000038,Philadelphia Union,USA-Major League Soccer
90000039,Portland Timbers,USA-Major League Soccer
90000040,Real Salt Lake,USA-Major League Soccer
90000041,SJ Earthquakes,USA-Major League Soccer
90000042,San Diego FC,USA-Major League Soccer
90000043,Seattle Sounders,USA-Major League Soccer
90000044,Sporting KC,USA-Major League Soccer
90000045,St. Louis City,USA-Major League Soccer
90000046,Toronto FC,USA-Major League Soccer
90000047,Vancouver W'caps,USA-Major League Soccer
90000048,Atlético Mineiro,BRA-Serie A
90000049,Bahia,BRA-Serie A
90000050,Botafogo (RJ),BRA-Serie A
90000051,Ceará,BRA-Serie A
90000052,Corinthians,BRA-Serie A
90000053,Cruzeiro,BRA-Serie A
90000054,Flamengo,BRA-Serie A
90000055,Fluminense,BRA-Serie A
90000056,Fortaleza,BRA-Serie A
90000057,Grêmio,BRA-Serie A
90000058,Internacional,BRA-Serie A
90000059,Juventude,BRA-Serie A
90000060,Mirassol,BRA-Serie A
90000061,Palmeiras,BRA-Serie A
90000062,RB Bragantino,BRA-Serie A
90000063,Santos,BRA-Serie A
90000064,Sport Recife,BRA-Serie A
90000065,São Paulo,BRA-Serie A
90000066,Vasco da Gama,BRA-Serie A
90000067,Vitória,BRA-Serie A
90000068,AZ Alkmaar,NED-Eredivisie
