player_id,name,position,current_club_id,nationality,born
11463,Aaron Ciammaglichella,S,113,ITA,2005
534,Aaron Cresswell,D S,81,ENG,1989
8942,Aaron Hickey,D,244,,
11759,Aaron Malouda,S,160,FRA,2005
5603,Aaron Ramsdale,GK,74,ENG,1998
9913,Aaron Ramsey,M S,92,,
5306,Aaron Seydel,F S,127,,
5584,Aaron Wan-Bissaka,D M S,81,COD,1997
2346,Aarón,GK S,144,ENG,1998
5133,Aarón Martín,D M S,101,ESP,1997
11816,Abakar Sylla,D S,225,CIV,2002
11046,Abdallah Sima,F M S,241,SEN,2001
9297,Abdelkabir Abqar,D,158,,
12228,Abdellah Baallal,S,270,,
11629,Abdellah Raihani,S,143,,
11825,Abderrahmane Rebbach,F M S,158,,
10095,Abdessamad Ezzalzouli,M S,153,,
9996,Abdou Harroui,F M S,94,NED,1998
7760,Abdoul Kader Bamba,M S,168,,
12618,Abdoul Koné,D S,177,FRA,2005
5732,Abdoulaye Bamba,D S,167,CIV,1990
1726,Abdoulaye Doucouré,M S,72,MLI,1993
13105,Abdoulaye Keita,M S,142,ESP,2002
3674,Abdoulaye Touré,M S,282,GUI,1994
13326,Abdoulie Ceesay,S,288,GAM,2004
12911,Abdul Fatawu,D F M S,75,GHA,2004
11105,Abdul Mumin,D,145,GHA,1998
11763,Abduqodir Khusanov,D,88,UZB,2004
8014,Abdón Prats,F M S,239,ESP,1992
12790,Abel Bretones,D M S,157,ESP,2000
7549,Abel Ruiz,F S,223,ESP,2000
6069,Ablie Jallow,F M S,180,,
11318,Abner,D S,178,BRA,2000
12519,Aboubacar Ali Abdallah,F S,225,,
12736,Aboubacar Bassinga,S,144,BFA,2005
11804,Aboubacar Lô,D M S,180,,
10835,Achraf Dari,D S,241,,
5197,Achraf Hakimi,D S,161,MAR,1998
4419,Adam Armstrong,F M S,74,ENG,1997
12371,Adam Aznou,D M S,231,MAR,2006
12984,Adam Dzwigala,D S,288,POL,1995
10774,Adam Hlozek,F M S,120,CZE,2002
486,Adam Lallana,M S,74,ENG,1988
6176,Adam Marusic,D M S,96,MNE,1992
1441,Adam Masina,D S,113,MAR,1994
10073,Adam Obert,D M S,116,SVK,2002
3259,Adam Ounas,M S,160,,
825,Adam Smith,D S,73,ENG,1991
7699,Adam Webster,D S,220,ENG,1995
12409,Adam Wharton,M S,78,ENG,2004
12724,Adama Boiro,D M S,147,ESP,2002
12164,Adama Bojang,S,177,,
900,Adama Traoré,F M S,228,ESP,1996
12386,Adel Mahamoud,S,168,,
5556,Ademola Lookman,F M S,107,NGA,1997
323,Adnan Januzaj,F M S,144,BEL,1995
10799,Ado Onaiwu,F M S,275,JPN,1995
11855,Adrian Beck,F M S,280,GER,1997
13172,Adrian Benedyczak,M S,230,POL,2000
8653,Adrian Grbic,S,179,ESP,1987
7915,Adrien Lebeau,S,241,,
3291,Adrien Rabiot,M S,164,FRA,1995
5996,Adrien Tameze,D M S,113,CMR,1994
3549,Adrien Thomasson,M S,210,FRA,1993
8640,Adrien Truffert,D M S,163,FRA,2001
11834,Adrià Alti,D M S,159,,
7174,Adrià Pedrosa,D M S,138,ESP,1998
527,Adrián,GK,153,ESP,1987
13271,Adrián Arnu,S,231,ESP,1987
8867,Adrián Bernabé,M S,230,ESP,2001
