country,shirt_no,position,player,dob,caps,intl_goals,club,player_id,minutes_played,club_goals,xg,np_xg,assists,xa,has_club_form,np_xg_per90
Czech Republic,1,GK,Matěj Kovář,2000-05-17,20,0,PSV Eindhoven,11069,450.0,0.0,0.0,0.0,0.0,0.0,true,0.0
Czech Republic,2,DF,David Zima,2000-11-08,25,1,Slavia Prague,9982,,,,,,,false,
Czech Republic,3,DF,Tomáš Holeš,1993-03-31,41,2,Slavia Prague,,,,,,,,false,
Czech Republic,4,DF,Robin Hranáč,2000-01-29,14,1,TSG Hoffenheim,13012,225.0,0.0,0.0,0.0,0.0,0.0,true,0.0
Czech Republic,5,DF,Vladimír Coufal,1992-08-22,62,2,TSG Hoffenheim,8965,1052.0,0.0,0.32362124137580395,0.32362124137580395,0.0,0.5783606953918934,true,0.027686227874355852
Czech Republic,6,DF,Štěpán Chaloupek,2003-03-08,5,0,Slavia Prague,,,,,,,,false,
Czech Republic,7,DF,Ladislav Krejčí (captain),1999-04-20,27,5,Wolverhampton Wanderers,12721,2436.0,2.0,1.6796669187024236,1.6796669187024236,0.0,0.3311499524861574,true,0.062056659557971315
Czech Republic,8,MF,Vladimír Darida,1990-08-08,79,8,Hradec Králové,,,,,,,,false,
Czech Republic,9,FW,Adam Hložek,2002-07-25,43,5,TSG Hoffenheim,10774,1890.0,8.0,5.854527406394482,5.854527406394482,3.0,2.8081529047340155,true,0.2787870193521182
Czech Republic,10,FW,Patrik Schick,1996-01-24,53,26,Bayer Leverkusen,1236,1675.0,21.0,13.808413846418262,13.050637168809772,0.0,0.8931068908423185,true,0.7012282657867938
Czech Republic,11,FW,Jan Kuchta,1997-01-08,31,3,Sparta Prague,,,,,,,,false,
Czech Republic,12,MF,Lukáš Červ,2001-04-10,17,2,Viktoria Plzeň,,,,,,,,false,
Czech Republic,13,FW,Mojmír Chytil,1999-04-29,22,6,Slavia Prague,,,,,,,,false,
Czech Republic,14,DF,David Jurásek,2000-08-07,18,1,Slavia Prague,12372,604.0,0.0,0.09263630956411362,0.09263630956411362,1.0,1.2873393669724464,true,0.01380342361054673
