country,squad_size,with_form,avg_npxg_per90,total_caps,total_intl_goals,team_elo
Spain,26,24,0.1962665402604846,743,117,2226.9222987697535
Argentina,26,23,0.14339820689004895,1251,223,2191.4461013464606
France,26,21,0.24440033255230023,803,100,2130.459093176906
England,26,22,0.21146315816758546,842,149,2096.04636914568
Colombia,26,9,0.12882417948285663,1042,108,2065.6312676789685
Brazil,26,18,0.17889106392589024,916,152,2063.358855972839
Portugal,26,19,0.1997132085942437,1160,259,2061.3392285547134
Ecuador,26,6,0.15827371325956502,771,95,2029.9623199901862
Netherlands,26,18,0.15278710705211204,861,153,2010.6572590993223
Germany,26,26,0.20267619584941257,844,105,2001.64690727091
Japan,26,12,0.13994190928521444,796,110,1994.5799812506652
Mexico,26,5,0.20482738580209495,1215,117,1993.739168418746
Morocco,26,11,0.12693970507046068,670,80,1993.3422306207776
Norway,26,14,0.2246673811389472,801,121,1985.0639274391358
Uruguay,26,10,0.11064638070594884,933,74,1976.9971387781097
Croatia,26,16,0.14909160836430702,1160,153,1974.9925374733436
Australia,26,4,0.07037298010121072,734,74,1956.9011472711331
Belgium,26,17,0.16383909553616907,1085,214,1946.031375264456
Switzerland,26,19,0.13797553478275637,1132,124,1928.9698072342035
Turkey,26,8,0.1802244218994533,970,97,1921.3828208044506
Senegal,26,18,0.15897613695251295,985,131,1914.2809978197135
South Korea,26,5,0.1849315240501152,958,143,1905.4462238401554
Iran,26,1,0.29544703714864357,1167,150,1896.176175567943
Austria,26,19,0.1356105890890816,1003,149,1886.2997227287187
Algeria,26,8,0.19826568379630063,790,124,1885.4640346878646
Canada,26,7,0.18220691866615576,953,133,1880.6687520247074
United States,26,10,0.1800774541174008,962,125,1880.1744047771635
Scotland,26,10,0.17971725285526371,973,98,1872.232014543593
Paraguay,26,8,0.1541442616956111,690,53,1868.6178844828296
Panama,26,1,0.06611644495854672,1541,126,1860.298770286506
Uzbekistan,26,2,0.24206063038347067,903,127,1820.742798656623
Ivory Coast,26,19,0.17670491391432988,702,83,1816.1548339313047
Egypt,26,4,0.39980215696301347,821,126,1811.2145875991557
Czech Republic,26,8,0.22739669886665856,723,98,1783.9072683985091
Sweden,26,13,0.14181449488558814,519,65,1776.4717148514403
Jordan,26,1,0.28056402602298885,1063,92,1776.0972681851463
DR Congo,26,8,0.1840051920053831,796,82,1764.522127606413
Tunisia,26,4,0.17284170108385066,582,43,1738.8332688464889
Iraq,26,3,,827,89,1738.5945637086734
New Zealand,26,3,0.25375619071262445,844,109,1732.1044743704826
Haiti,26,4,0.07506697821059409,624,115,1698.3621596110102
Saudi Arabia,26,1,,927,96,1695.048866014742
Bosnia and Herzegovina,26,6,0.2718298008582004,597,93,1676.936067406931
South Africa,26,0,,483,61,1657.2332459705788
Cape Verde,26,3,0.13295788351800752,825,75,1654.5047047541368
Ghana,26,13,0.14310207798713398,561,67,1626.648018772567
Curaçao,26,0,,618,73,1611.3679948499955
Qatar,26,1,0.41472446250966283,1416,208,1590.5607164315666
